価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
380,91.62,北海道札幌市南区定山渓温泉西２,13.31,地下鉄南北線「真駒内」バス40分停歩4分,2LDK,1992/4,1,0,0,,40,4,
380,26.43,北海道札幌市中央区南十一条西２３-4-5,-,札幌市電「西線１１条」徒歩15分,ワンルーム,1973/8,0,1,0,15,,,
380,24.62,北海道札幌市中央区北五条西２７,4.2,地下鉄東西線「西２８丁目」徒歩2分,ワンルーム,1986/8,1,0,0,2,,,
380,19.32,北海道札幌市白石区南郷通１丁目北,-,地下鉄東西線「白石」徒歩1分,ワンルーム,1990/7,1,0,0,1,,,
380,39.32,北海道札幌市中央区南四条西１０-1004-5,-,札幌市電「中央区役所前」徒歩5分,2DK,1969/9,0,1,0,5,,,
390,19.72,北海道札幌市中央区北六条西２５-４－１,1.68,地下鉄東西線「西２８丁目」徒歩7分,1K,1990/12,1,0,0,7,,,
390,56.65,北海道札幌市南区南三十二条西９-３－５,6.74,じょうてつバス「南33条西11丁目」徒歩3分,2LDK,1978/9,0,0,0,3,,,
395,53.02,北海道札幌市豊平区中の島二条１０-3-4,6.98,地下鉄南北線「澄川」徒歩15分,2LDK,1974/6,1,0,0,15,,,
400,91.13,北海道札幌市南区川沿十七条１,10.05,じょうてつバス「硬石山」徒歩2分,4LDK,1980/12,0,0,0,2,,,
400,60.4,北海道札幌市西区西野二条３,6.24,地下鉄東西線「発寒南」徒歩10分,3DK,1970/11,1,0,0,10,,,
400,51,北海道札幌市豊平区月寒西四条５,-,地下鉄東豊線「美園」徒歩12分,2LDK,1984/10,1,0,0,12,,,
410,59.08,北海道札幌市西区八軒八条東１,7,ＪＲ札沼線「八軒」徒歩3分,3DK,1976/7,0,0,1,3,,,
420,31.47,北海道札幌市白石区東札幌三条３,11.21,地下鉄東西線「東札幌」徒歩3分,ワンルーム,1982/10,1,0,0,3,,,
420,59.08,北海道札幌市西区八軒八条東１-１－１８,7,ＪＲ札沼線「八軒」徒歩5分,2LDK,1976/7,0,0,1,5,,,
